Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20260406|A|194269|78|409469|TRF
20260407|A|175630|0|402226|TRF
20260408|A|191737|0|508239|TRF
20260409|A|204521|192|409611|TRF
20260406|AA|824378|1944|1776661|TRF
20260407|AA|1011499|2015|1987679|TRF
20260408|AA|1181560|13949|2900420|TRF
20260409|AA|1128159|1721|2636582|TRF
20260406|AAA|3613|0|3855|TRF
20260407|AAA|80|0|8153|TRF
20260408|AAA|400|0|7276|TRF
20260409|AAA|3|0|4527|TRF
20260406|AAAA|5572|0|6318|TRF
20260407|AAAA|5|0|147|TRF
20260408|AAAA|131|0|131|TRF
20260409|AAAA|907|0|2200|TRF
20260406|AAAC|1|0|2|TRF
20260407|AAAC|1|0|2|TRF
20260408|AAAC|2|0|2|TRF
20260406|AAAU|92724|49|225891|TRF
20260407|AAAU|139976|0|264794|TRF
20260408|AAAU|194886|1375|376922|TRF
20260409|AAAU|85273|1|175130|TRF
20260406|AACB|1|0|485|TRF
20260408|AACB|1|0|1|TRF
20260406|AACBR|1|0|109|TRF
20260408|AACBR|10|0|20|TRF
20260409|AACBR|13|0|13|TRF
20260406|AACG|266|0|4203|TRF
20260407|AACG|200|0|779|TRF
20260408|AACG|506|0|8066|TRF
20260409|AACG|415|0|1777|TRF
20260406|AACI|13|0|14|TRF
20260407|AACI|300|0|11300|TRF
20260408|AACI|259|0|565|TRF
20260409|AACI|3831|0|8810|TRF
20260408|AACIU|200|0|245|TRF
20260409|AACIU|5|0|5|TRF
20260407|AACIW|411|0|411|TRF
20260409|AACIW|6589|0|8289|TRF
20260406|AACOU|1000|0|1010|TRF
20260407|AACOU|300|0|300|TRF
20260408|AACOU|1925|0|4151|TRF
20260407|AACPU|41667|0|666027|TRF
20260408|AACPU|1637|0|16597|TRF
20260409|AACPU|648|0|6111|TRF
20260406|AADR|602|0|1450|TRF
20260407|AADR|343|0|12523|TRF
20260408|AADR|117|0|2138|TRF
20260409|AADR|94|0|935|TRF
20260408|AAEQ|1|0|4|TRF
20260406|AAL|9675278|300|21605238|TRF
20260407|AAL|14644064|8644|30615660|TRF
20260408|AAL|16779703|192134|49307812|TRF
20260409|AAL|9303127|19985|21397039|TRF
20260406|AALG|5969|0|17469|TRF
20260407|AALG|15294|0|32988|TRF
20260408|AALG|15737|0|40092|TRF
20260409|AALG|4615|0|11076|TRF
20260406|AAME|6679|0|23187|TRF
20260407|AAME|3809|1|11659|TRF
20260408|AAME|2570|0|6300|TRF
20260409|AAME|1587|0|5420|TRF
20260406|AAMI|33627|0|68971|TRF
20260407|AAMI|34555|0|69887|TRF
20260408|AAMI|63341|0|194292|TRF
20260409|AAMI|68408|0|204151|TRF
20260406|AAOI|3717318|11438|7921937|TRF
20260407|AAOI|2045897|4388|5554488|TRF
20260408|AAOI|3539761|5493|7070677|TRF
20260409|AAOI|3033630|9109|7098341|TRF
20260406|AAON|207882|26405|252689|TRF
20260407|AAON|164073|16517|197708|TRF
20260408|AAON|178027|0|275081|TRF
20260409|AAON|142580|0|201170|TRF
20260406|AAOX|722650|31464|1005387|TRF
20260407|AAOX|308923|5090|696740|TRF
20260408|AAOX|613445|14111|989655|TRF
20260409|AAOX|718849|11470|1161392|TRF
20260406|AAP|194088|0|285475|TRF
20260407|AAP|167064|200|216688|TRF
20260408|AAP|519794|142|739968|TRF
20260409|AAP|299938|25|539576|TRF
20260406|AAPB|5545|0|9587|TRF
20260407|AAPB|37994|0|58388|TRF
20260408|AAPB|20327|0|41156|TRF
20260409|AAPB|16082|0|31248|TRF
20260406|AAPD|1757604|0|4768200|TRF
20260407|AAPD|1973292|0|6296244|TRF
20260408|AAPD|1526412|0|5993437|TRF
20260409|AAPD|903699|200|3832003|TRF
20260406|AAPG|469|0|755|TRF
20260407|AAPG|54|0|920|TRF
20260408|AAPG|20|0|143|TRF
20260409|AAPG|22|0|55|TRF
20260406|AAPL|5994617|32274|11086332|TRF
20260407|AAPL|15090335|28969|25631781|TRF
20260408|AAPL|7001137|23647|13816070|TRF
20260409|AAPL|5096493|30311|9963297|TRF
20260406|AAPR|1862|0|14241|TRF
20260407|AAPR|5812|0|6767|TRF
20260408|AAPR|3465|0|4405|TRF
20260409|AAPR|3571|0|8341|TRF
20260406|AAPU|203900|926|398158|TRF
20260407|AAPU|956654|53175|1498975|TRF
20260408|AAPU|222923|31253|480100|TRF
20260409|AAPU|150918|100|281695|TRF
20260406|AAPW|1225|0|1977|TRF
20260407|AAPW|1985|0|4360|TRF
20260408|AAPW|1895|60|5144|TRF
20260409|AAPW|5726|0|6525|TRF
20260406|AAPX|9719|0|17355|TRF
20260407|AAPX|55192|5172|75139|TRF
20260408|AAPX|16819|2462|26979|TRF
20260409|AAPX|15520|27|32234|TRF
20260406|AAPY|373|0|1013|TRF
20260407|AAPY|1084|1|1485|TRF
20260408|AAPY|2127|0|2865|TRF
20260409|AAPY|93|0|479|TRF
20260406|AARD|36221|0|126969|TRF
20260407|AARD|28615|0|45366|TRF
20260408|AARD|36685|0|64038|TRF
20260409|AARD|27239|0|41994|TRF
20260406|AAT|55537|0|121603|TRF
20260407|AAT|45918|0|88894|TRF
20260408|AAT|68815|0|111390|TRF
20260409|AAT|43881|0|79182|TRF
20260407|AAUA|2249|0|52623|TRF
20260406|AAUC|19517|0|40317|TRF
20260407|AAUC|38866|0|51958|TRF
20260408|AAUC|23273|0|52891|TRF
20260409|AAUC|18916|0|41535|TRF
20260406|AAUM|4|0|4|TRF
20260407|AAUM|201|0|201|TRF
20260406|AAUS|0|0|589|TRF
20260407|AAUS|1292|0|2094|TRF
20260408|AAUS|7|0|14|TRF
20260406|AAVM|55|0|447|TRF
20260407|AAVM|171|0|441|TRF
20260408|AAVM|228|0|996|TRF
20260409|AAVM|155|0|1700|TRF
20260406|AAXJ|80956|10|122485|TRF
20260407|AAXJ|63486|0|143614|TRF
20260408|AAXJ|270446|0|611400|TRF
20260409|AAXJ|55396|10315|181902|TRF
20260406|AB|67297|0|160609|TRF
20260407|AB|43431|300|154800|TRF
20260408|AB|58040|0|144438|TRF
20260409|AB|35892|0|93556|TRF
20260406|ABAT|521667|1522|1295225|TRF
20260407|ABAT|389197|161|811817|TRF
20260408|ABAT|615124|10803|1128225|TRF
20260409|ABAT|237295|1100|716846|TRF
20260406|ABBV|687048|1479|2070008|TRF
20260407|ABBV|851416|307|2392367|TRF
20260408|ABBV|707620|1592|1613306|TRF
20260409|ABBV|513683|26|1217667|TRF
20260406|ABCB|111825|0|150981|TRF
20260407|ABCB|138820|45|181983|TRF
20260408|ABCB|134321|4|189372|TRF
20260409|ABCB|136844|0|283538|TRF
20260406|ABCL|497112|1470|1597360|TRF
20260407|ABCL|570990|1|2130570|TRF
20260408|ABCL|367697|0|1625501|TRF
20260409|ABCL|408050|21732|892841|TRF
20260406|ABCS|1387|0|4375|TRF
20260407|ABCS|1624|0|1922|TRF
20260408|ABCS|717|0|1366|TRF
20260409|ABCS|790|0|1792|TRF
20260406|ABEO|215007|1155|433267|TRF
20260407|ABEO|206751|4695|398587|TRF
20260408|ABEO|158848|0|219499|TRF
20260409|ABEO|301755|3597|658508|TRF
20260406|ABEQ|9707|0|11791|TRF
20260407|ABEQ|2306|0|10013|TRF
20260408|ABEQ|10902|0|19385|TRF
20260409|ABEQ|8379|0|14045|TRF
20260406|ABEV|4916098|10795|9781157|TRF
20260407|ABEV|8951627|15113|17341491|TRF
20260408|ABEV|6215731|9140|10999588|TRF
20260409|ABEV|10182394|10179|20188510|TRF
20260406|ABFL|8732|0|28201|TRF
20260407|ABFL|6328|0|10767|TRF
20260408|ABFL|3464|0|8189|TRF
20260409|ABFL|2252|0|11998|TRF
20260406|ABG|30157|0|45128|TRF
20260407|ABG|25813|0|35358|TRF
20260408|ABG|34251|0|49265|TRF
20260409|ABG|21662|0|33924|TRF
20260406|ABI|205|0|405|TRF
20260407|ABI|2|0|8|TRF
20260408|ABI|2|0|106|TRF
20260409|ABI|13|0|16|TRF
20260406|ABIG|581|0|581|TRF
20260407|ABIG|2|0|2|TRF
20260408|ABIG|2090|0|8672|TRF
20260409|ABIG|2|0|7|TRF
20260406|ABLD|3064|0|4204|TRF
20260407|ABLD|1570|0|2397|TRF
20260408|ABLD|3433|0|3949|TRF
20260409|ABLD|2493|0|2730|TRF
20260406|ABLG|100|0|21241|TRF
20260407|ABLG|200|0|1324|TRF
20260406|ABLS|2201|0|2205|TRF
20260407|ABLS|26|0|27|TRF
20260409|ABLS|210|0|235|TRF
20260406|ABLV|9818|0|13323|TRF
20260407|ABLV|90|0|90|TRF
20260408|ABLV|258|0|758|TRF
20260409|ABLV|103|0|775|TRF
20260406|ABLVW|1|0|1|TRF
20260407|ABLVW|202|0|270|TRF
20260406|ABM|36717|0|88406|TRF
20260407|ABM|56292|0|117785|TRF
20260408|ABM|93427|148|169116|TRF
20260409|ABM|80830|663|148699|TRF
20260406|ABNB|413148|9342|1102444|TRF
20260407|ABNB|345968|30|950828|TRF
20260408|ABNB|543292|730|1350435|TRF
20260409|ABNB|578975|211|1268454|TRF
20260406|ABNG|15|0|150|TRF
20260407|ABNG|5|0|45|TRF
20260408|ABNG|136|0|562|TRF
20260409|ABNG|337|0|648|TRF
20260406|ABNY|45|0|304|TRF
20260407|ABNY|23|0|97|TRF
20260408|ABNY|50|0|959|TRF
20260409|ABNY|301|0|524|TRF
20260406|ABOS|70847|0|177254|TRF
20260407|ABOS|115540|3120|187235|TRF
20260408|ABOS|43736|691|127181|TRF
20260409|ABOS|43891|1270|124701|TRF
20260407|ABOT|6|0|7|TRF
20260406|ABR|220783|0|619250|TRF
20260407|ABR|269232|120|812898|TRF
20260408|ABR|309659|1895|912399|TRF
20260409|ABR|270023|0|595305|TRF
20260406|ABRpD|4032|0|4940|TRF
20260407|ABRpD|633|0|678|TRF
20260408|ABRpD|12777|0|22021|TRF
20260409|ABRpD|4395|0|10951|TRF
20260406|ABRpE|848|0|3592|TRF
20260407|ABRpE|1074|0|2250|TRF
20260408|ABRpE|1629|0|10618|TRF
20260409|ABRpE|1679|0|6148|TRF
20260406|ABRpF|469|0|1713|TRF
20260407|ABRpF|335|0|1657|TRF
20260408|ABRpF|2616|0|6630|TRF
20260409|ABRpF|1484|0|2870|TRF
20260406|ABSI|380616|100|2681629|TRF
20260407|ABSI|540216|4306|1804972|TRF
20260408|ABSI|418547|835|1556770|TRF
20260409|ABSI|449687|346|1201172|TRF
20260406|ABT|1175718|3|2332096|TRF
20260407|ABT|1780999|1971|3292308|TRF
20260408|ABT|1332194|942|3140461|TRF
20260409|ABT|1179180|1717|2280785|TRF
20260406|ABTC|2508393|0|4551854|TRF
20260407|ABTC|1980821|553|3865822|TRF
20260408|ABTC|2648255|39001|8733347|TRF
20260409|ABTC|1852501|600|4652205|TRF
20260406|ABTS|1247|0|6892|TRF
20260407|ABTS|5987|1549|17291|TRF
20260408|ABTS|2455|645|13730|TRF
20260409|ABTS|11971|196|24777|TRF
20260406|ABUF|1267|0|1267|TRF
20260407|ABUF|4|0|4|TRF
20260408|ABUF|2090|0|2890|TRF
20260409|ABUF|16|0|18|TRF
20260406|ABUS|153340|0|252282|TRF
20260407|ABUS|229240|7801|323327|TRF
20260408|ABUS|241885|0|1221643|TRF
20260409|ABUS|332593|0|726550|TRF
20260406|ABVC|228457|2500|383490|TRF
20260407|ABVC|250441|1487|425282|TRF
20260408|ABVC|34645|0|69942|TRF
20260409|ABVC|13265|3000|156056|TRF
20260406|ABVE|205164|1494|411941|TRF
20260407|ABVE|161129|4248|387688|TRF
20260408|ABVE|351008|123|598965|TRF
20260409|ABVE|226208|13552|455138|TRF
20260406|ABVEW|10608|0|19140|TRF
20260408|ABVEW|10|0|18725|TRF
20260409|ABVEW|374|184|3518|TRF
20260406|ABVX|37710|0|127970|TRF
20260407|ABVX|45129|0|141648|TRF
20260408|ABVX|42967|303|161860|TRF
20260409|ABVX|100301|0|415934|TRF
20260406|ABX|100761|0|315358|TRF
20260407|ABX|115922|0|404331|TRF
20260408|ABX|95436|2300|341024|TRF
20260409|ABX|66991|0|210798|TRF
20260407|ABXB|14|0|1496|TRF
20260406|ABXL|300|0|1154|TRF
20260407|ABXL|958|0|2704|TRF
20260408|ABXL|2670|0|7539|TRF
20260409|ABXL|1313|0|2925|TRF
20260406|ACA|69845|0|93266|TRF
20260407|ACA|68403|0|82734|TRF
20260408|ACA|59962|0|101401|TRF
20260409|ACA|35461|0|45733|TRF
20260406|ACAAU|21910|0|63810|TRF
20260407|ACAAU|4100|0|74661|TRF
20260408|ACAAU|4800|0|5001|TRF
20260406|ACAD|316174|1915|566599|TRF
20260407|ACAD|216709|343|433950|TRF
20260408|ACAD|233101|242|568525|TRF
20260409|ACAD|148402|720|482874|TRF
20260406|ACB|199723|201|445149|TRF
20260407|ACB|96677|21|264517|TRF
20260408|ACB|167078|4|350966|TRF
20260409|ACB|118099|2|292220|TRF
20260406|ACCL|416|0|9281|TRF
20260407|ACCL|95|0|427|TRF
20260408|ACCL|441|0|2498|TRF
20260409|ACCL|984|0|2247|TRF
20260406|ACCO|364808|1320|1135355|TRF
20260407|ACCO|235139|0|552020|TRF
20260408|ACCO|266226|4030|752270|TRF
20260409|ACCO|243277|0|619173|TRF
20260406|ACCS|1668|0|4481|TRF
20260407|ACCS|1224|0|3939|TRF
20260408|ACCS|2233|0|6462|TRF
20260409|ACCS|3494|0|7866|TRF
20260406|ACDC|114541|6|332006|TRF
20260407|ACDC|88647|0|320594|TRF
20260408|ACDC|324938|38335|701548|TRF
20260409|ACDC|147835|16460|382897|TRF
20260406|ACEI|2644|0|2674|TRF
20260407|ACEI|4688|0|4724|TRF
20260408|ACEI|11710|0|15585|TRF
20260409|ACEI|4219|0|4650|TRF
20260406|ACEL|40402|0|82465|TRF
20260407|ACEL|39153|0|110265|TRF
20260408|ACEL|54338|0|112042|TRF
20260409|ACEL|35145|0|69481|TRF
20260406|ACEP|4|0|104|TRF
20260407|ACEP|552|0|556|TRF
20260408|ACEP|1|0|12|TRF
20260406|ACES|43135|0|71027|TRF
20260407|ACES|25108|0|39785|TRF
20260408|ACES|15526|0|31229|TRF
20260409|ACES|6406|0|8517|TRF
20260406|ACET|7354|0|44328|TRF
20260407|ACET|26016|0|68074|TRF
20260408|ACET|44080|0|113807|TRF
